Reason(s),P/F
"Reserve Shutdown as per NRLDC instructions,unit desynchronized",P
"Reserve Shutdown as per NRLDC instructions,unit desynchronized",P
Reserve Shutdown As per NRLDC Unit Desynchronised,P
Reserve Shutdown As per NRLDC Unit Desynchronised,P
Reserve Shutdown As per NRLDC Unit Desynchronised,P
Reserve Shutdown As per NRLDC Unit Desynchronised,P
Reserve Shutdown As per NRLDC unit desychronised,P
Reserve Shutdown As per NRLDC unit desychronised,P
Reserve Shutdown As per NRLDC unit desychronised,P
Reserve Shutdown As per NRLDC unit desychronised,P
Reserve Shutdown as per nrldc,P
Reserve Shutdown as per nrldc,P
Reserve Shutdown as per nrldc,P
Reserve Shutdown as per nrldc,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown as per nrldc,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown As per NRLDC unit desycronised,P
Reserve Shutdown As per NRLDC unit desycronized,P
Reserve Shutdown As per NRLDC unit desycronized,P
Reserve Shutdown As per NRLDC unit desycronized,P
Reserve Shutdown AS PER NRLDC INSTRUCTIONS.,P
Reserve Shutdown AS PER NRLDC INSTRUCTIONS.,P
Reserve Shutdown AS PER NRLDC INSTRUCTIONS.,P
Reserve Shutdown AS PER NRLDC INSTRUCTIONS.,P
Reserve Shutdown AS PER NRLDC,P
Reserve Shutdown AS PER NRLDC,P
Reserve Shutdown AS PER NRLDC,P
Reserve Shutdown AS PER NRLDC INSTRUCTIONS.,P
Reserve Shutdown AS PER NRLDC INSTRUCTIONS.,P
Reserve Shutdown AS PER NRLDC INSTRUCTIONS.,P
Reserve Shutdown AS PER NRLDC INSTRUCTIONS.,P
Hand tripped as critical equipment is taking high current.,F
Reserve Shutdown AS PER NRLDC,P
Reserve Shutdown AS PER NRLDC,P
 Unit out due to duct insulation damage.,F
Reserve Shutdown As per NRLDC unit desyncronised.,P
Reserve Shutdown As per NRLDC unit desyncronised.,P
Reserve Shutdown As per NRLDC unit Desynchronized,P
GT trip duct  insulator damage,F
Reserve Shutdown As per NRLDC unit desynchronized,P
Reserve Shutdown As per NRLDC unit desynchronized,P
Reserve Shutdown As per NRLDC unit desyncronised.,P
Reserve Shutdown As per NRLDC unit desyncronised.,P
Reserve Shutdown As per NRLDC unit Desynchronised,P
Reserve Shutdown As per NRLDC unit Desynchronised,P
Reserve Shutdown AS PER NRLDC,P
Reserve Shutdown AS PER NRLDC,P
Reserve Shutdown AS PER NRLDC,P
Reserve Shutdown AS PER NRLDC,P
"Reserve Shutdown AS PER NRLDC INSTRUCTIONS, UNIT DESYNCHRONIZED.",P
"Reserve Shutdown AS PER NRLDC INSTRUCTIONS, UNIT DESYNCHRONIZED.",P
Reserve Shutdown AS PER NRLDC INSTRUCTIONS.,P
Reserve Shutdown AS PER NRLDC INSTRUCTIONS.,P
"Reserve Shutdown as per NRLDC instructions, unit desynchronized",P
"Reserve Shutdown as per NRLDC instructions,unit Desynchronized.",P
Reserve Shutdown As per NRLDC unit desychronised ,P
Reserve Shutdown As per NRLDC unit desychronised ,P
Reserve Shutdown ,P
Reserve Shutdown As per NRLDC unit shutdown.,P
Reserve Shutdown As per NRLDC unit shutdown.,P
Reserve Shutdown As per NRLDC unit shutdown.,P
Reserve Shutdown AS PER NRLDC INSTRUCTIONS.,P
Reserve Shutdown AS PER NRLDC INSTRUCTIONS.,P
Reserve Shutdown Unit is under Reserve shutdown,P
Reserve Shutdown As per NRLDC unit shutdown.,P
Reserve Shutdown As per NRLDC unit shutdown.,P
Reserve Shutdown As per NRLDC unit shutdown.,P
Reserve Shutdown As per NRLDC unit shutdown.,P
Reserve Shutdown As per NRLDC unit shutdown.,P
Reserve Shutdown As per NRLDC unit shutdown.,P
"Reserve Shutdown As per NRLDC instructions,unit desynchronized ",P
"Reserve Shutdown As per NRLDC instructions,unit desynchronized ",P
"Reserve Shutdown As per NRLDC instructions,unit desynchronized ",P
"Reserve Shutdown As per NRLDC instructions,unit desynchronized ",P
"Reserve Shutdown as per NRLDC instructions, unit desynchronized.",P
"Reserve Shutdown as per NRLDC instructions, unit desynchronized.",P
"Reserve Shutdown as per NRLDC instructions, unit desynchronized.",P
"Reserve Shutdown as per NRLDC instructions, unit desynchronized.",P
Reserve Shutdown AS PER REQUEST OF NRLDC ,P
"Reserve Shutdown As per NRLDC instructions,unit Desynchronized.",P
"Reserve Shutdown As per NRLDC instructions,unit Desynchronized.",P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown Unit shut down as per NRLDC instruction,P
Reserve Shutdown Unit shut down as per NRLDC instruction,P
Reserve Shutdown Unit shut down as per NRLDC instruction,P
Reserve Shutdown Unit shut down as per NRLDC instruction,P
Reserve Shutdown as per nrldc,P
Reserve Shutdown AS PER NRLDC,P
Reserve Shutdown AS PER NRLDC,P
Reserve Shutdown AS PER NRLDC,P
Reserve Shutdown AS PER RESERVE SHUTDOWN,P
Reserve Shutdown AS PER NRLDC REQUEST,P
Reserve Shutdown AS PER NRLDC REQUEST,P
Boiler Tube Leakage from 11 hrs on 06.02.2024 forced outage due to flue gas leakage ,F
Reserve Shutdown AS PER NRLDC INSTRUCTIONS.,P
Reserve Shutdown AS PER NRLDC INSTRUCTIONS.,P
Reserve Shutdown AS PER NRLDC INSTRUCTIONS.,P
"Reserve Shutdown as per NRLDC instructions, unit desynchronized.",P
"Reserve Shutdown as per NRLDC instructions, unit desynchronized.",P
"Reserve Shutdown as per NRLDC instructions, unit desynchronized.",P
"Reserve Shutdown as per NRLDC instructions, unit desynchronized.",P
Reserve Shutdown AS PER NRLDC INSTRUCTIONS.,P
Reserve Shutdown AS PER NRLDC INSTRUCTIONS.,P
Reserve Shutdown AS PER NRLDC INSTRUCTIONS.,P
Reserve Shutdown AS PER NRLDC INSTRUCTIONS.,P
Reserve Shutdown AS PER NRLDC INSTRUCTIONS.,P
Reserve Shutdown AS PER NRLDC INSTRUCTIONS,P
Reserve Shutdown AS PER NRLDC INSTRUCTIONS,P
 Emergency shutdown to control oil leakage. ,P
Reserve Shutdown AS PER NRLDC INSTRUCTION UNIT DESYNCHRONISED ,P
Reserve Shutdown AS PER NRLDC INSTRUCTION UNIT DESYNCHRONISED ,P
Reserve Shutdown AS PER NRLDC INSTRUCTION UNIT DESYNCHRONISED ,P
Reserve Shutdown Unit Desynchronized as per NRLDC ,P
Reserve Shutdown . Unit Desynchronized as per NRLDC. ,P
Reserve Shutdown . Unit Desynchronized as per NRLDC.,P
Reserve Shutdown AS PER  NRLDC,P
Reserve Shutdown AS PER  NRLDC,P
Reserve Shutdown GT#1 DESYNCHRONISED .,P
Reserve Shutdown GT#2 DESYNCHRONISED.,P
Reserve Shutdown Desynchronised as per instruction,P
Reserve Shutdown Desynchronised as per instruction,P
Reserve Shutdown As per instruction,P
Reserve Shutdown As per instruction,P
Reserve Shutdown AS PER NRLDC INSTRUCTUIONS.,P
Reserve Shutdown AS PER NRLDC INSTRUCTUIONS.,P
Reserve Shutdown AS PER NRLDC INSTRUCTIONS,P
Reserve Shutdown AS PER NRLDC INSTRUCTIONS,P
Reserve Shutdown AS PER NRLDC INSTRUCTIONS,P
"Reserve Shutdown as per NRLDC, unit desynchronized",P
Reserve Shutdown  (as per T-GNA schedule of TANGEDCO).,P
Reserve Shutdown (as per T-GNA schedule of TANGEDCO).,P
Reserve Shutdown (as per T-GNA schedule of TANGEDCO).,P
Reserve Shutdown (as per T-GNA schedule of TANGEDCO).,P
Reserve Shutdown (as per T-GNA schedule of TANGEDCO).,P
Reserve Shutdown (as per T-GNA schedule of TANGEDCO).,P
Reserve Shutdown as per T-GNA schedule of TANGEDCO,P
Reserve Shutdown as per T-GNA schedule of TANGEDCO,P
Reserve Shutdown as per T-GNA schedule of TANGEDCO,P
Reserve Shutdown as per T-GNA schedule of TANGEDCO,P
Reserve Shutdown as per T-GNA schedule of TANGEDCO.,P
Reserve Shutdown as per T-GNA schedule of TANGEDCO.,P
Reserve Shutdown as per T-GNA schedule of TANGEDCO.,P
Reserve Shutdown as per T-GNA schedule of TANGEDCO.,P
Reserve Shutdown as per T-GNA schedule of TANGEDCO.,P
Reserve Shutdown as per T-GNA schedule of TANGEDCO.,P
Reserve Shutdown As per NRLDC unit de sync.,P
Reserve Shutdown As per NRLDC unit de sync.,P
Reserve Shutdown As per NRLDC unit de sync.,P
Reserve Shutdown As per NRLDC unit de sync.,P
Reserve Shutdown AS per NRLDC,P
Reserve Shutdown AS per NRLDC,P
Reserve Shutdown ,P
Reserve Shutdown ,P
"Reserve Shutdown as per NRLDC,Unit Desynchronized.",P
"Reserve Shutdown as per NRLDC,Unit Desynchronized.",P
Reserve Shutdown As per nrldc instruction,P
Reserve Shutdown As per nrldc instruction,P
Oil Leakage from Control Valve (CV-1165) of GT-1.,F
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown AS PER NRLDC INSTRUCTIONS.,P
Reserve Shutdown AS PER NRLDC INSTRUCTIONS.,P
Reserve Shutdown As per NRLDC unit de sync.,P
Reserve Shutdown As per NRLDC unit de sync.,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown as per nrldc,P
Reserve Shutdown as per nrldc,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown AS PER NRLDC INSTRUCTIONS.,P
Reserve Shutdown AS PER NRLDC INSTRUCTIONS.,P
Reserve Shutdown As per NLDC unit de sync.,P
Reserve Shutdown As per NLDC unit de sync.,P
"Reserve Shutdown As per NRLDC, Unit is Desynchronized.",P
"Reserve Shutdown As per NRLDC, Unit is Desynchronized.",P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown AS PER NRLDC INSTRUCTIONS.,P
Reserve Shutdown AS PER NRLDC INSTRUCTIONS.,P
Reserve Shutdown AS PER NRLDC INSTRUCTIONS.,P
Reserve Shutdown AS PER NRLDC INSTRUCTIONS.,P
Reserve Shutdown AS PER NRLDC INSTRUCTIONS,P
Reserve Shutdown AS PER NRLDC INSTRUCTIONS,P
Reserve Shutdown AS PER NRLDC INSTRUCTIONS,P
Leakage in Condenser Pump LOSS OF VACCUM IN CONDENSER,F
Reserve Shutdown AS PER TGNA ,P
Reserve Shutdown as per TGNA,P
 Damper actuator motor damaged during operation.,F
Reserve Shutdown As pinstructioner nrldc ,P
Reserve Shutdown As per nrldc instruction,P
Reserve Shutdown As per nrldc instruction,P
Reserve Shutdown AS PER NRLDC,P
Reserve Shutdown AS PER NRLDC,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
"Boiler Tube Leakage steam leak form boiler 4, ",F
Reserve Shutdown As per NLDC unit de sync.,P
Reserve Shutdown unit shutdown as per NRLDC,P
"Reserve Shutdown as per NRLDC, Unit is Desynchronized",P
"Reserve Shutdown as per NRLDC, Unit is Desynchronized",P
"Reserve Shutdown as per NRLDC, unit is Desynchronized.",P
"Reserve Shutdown as per NRLDC, unit is Desynchronized.",P
"Reserve Shutdown as per NRLDC, unit is Desynchronized.",P
"Reserve Shutdown as per NRLDC, unit is Desynchronized.",P
"Reserve Shutdown as per NRLDC, unit is Desynchronized.",P
"Reserve Shutdown as per NRLDC, unit is Desynchronized.",P
Reserve Shutdown As per NRLDC communication.,P
Reserve Shutdown As per NRLDC Communication,P
Reserve Shutdown Unit Desynchronised as per NRLDC Instructions,P
Reserve Shutdown Unit Desynchronised as per NRLDC Instructions,P
Reserve Shutdown Unit Desynchronised as per NRLDC Instructions,P
Reserve Shutdown As per NRLDC Communication,P
Reserve Shutdown Unit Desynchronised as per NRLDC Instructions,P
Reserve Shutdown UNIT DESYNCHRONISED AS PER NRLDC INSTRUCTION,P
Reserve Shutdown AS per NLDC unit desync.,P
Reserve Shutdown AS per NLDC unit desync.,P
Reserve Shutdown as per nrldc unit de sync,P
Reserve Shutdown as per nrldc unit de sync,P
"Reserve Shutdown as per NRLDC instructions, unit is Desynchronized.",P
"Reserve Shutdown as per NRLDC instructions, unit is Desynchronized.",P
Reserve Shutdown AS PER NRLDC INSTRUCTIONS.,P
Reserve Shutdown AS PER NRLDC INSTRUCTIONS.,P
Reserve Shutdown as per nrldc,P
Reserve Shutdown as per nrldc,P
Reserve Shutdown Reserve shutdown as per nrldc instruction,P
Reserve Shutdown Rsd as per nrldc instruction,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
"Over hauling initially under rsd, now in over hauling from 18:00 hrs on 01.07.2024",F
Reserve Shutdown AS PER NRLDC MAIL FOR UNIT DESYNCHRONISATION.,P
Reserve Shutdown AS PER NRLDC MAIL FOR UNIT DESYNCHRONISATION.,P
Reserve Shutdown AS PER NRLDC MAIL FOR UNIT DESYNCHRONISATION.,P
Reserve Shutdown As per NRLDC Communication,P
Reserve Shutdown As per NRLDC Communication,P
Reserve Shutdown As per NRLDC Communication,P
Reserve Shutdown As per NLDC.,P
Reserve Shutdown As per NLDC.,P
Reserve Shutdown As per NLDC.,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown AS PER NRLDC MAIL FOR UNIT SHUTDOWN.,P
Reserve Shutdown AS PER NRLDC MAIL FOR UNIT SHUTDOWN.,P
Reserve Shutdown AS PER NRLDC MAIL FOR UNIT SHUTDOWN.,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown UNIT DESYNCHRONIZED AS PER NRLDC INSTRUCTION,P
Reserve Shutdown UNIT DESYNCHRONIZED AS PER NRLDC INSTRUCTION,P
Reserve Shutdown UNIT DESYNCHRONIZED AS PER NRLDC INSTRUCTION,P
Reserve Shutdown UNIT DESYNCHRONIZED AS PER NRLDC INSTRUCTION,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown UNIT IS DESYNCHRONISED AS PER NRLDC INSTRUCTION.,P
Reserve Shutdown UNIT IS DESYNCHRONISED AS PER NRLDC INSTRUCTION.,P
Reserve Shutdown UNIT IS DESYNCHRONISED AS PER NRLDC INSTRUCTION.,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown As per NRLDC Communication,P
Reserve Shutdown As per NRLDC Communication,P
Reserve Shutdown As per NRLDC Communication,P
Reserve Shutdown As per NRLDC Communication,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown AS PER NRLDC INSTRUCTION.,P
Reserve Shutdown AS PER NRLDC INSTRUCTION.,P
Reserve Shutdown AS PER NRLDC INSTRUCTION.,P
Reserve Shutdown AS PER NRLDC INSTRUCTION.,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown As Per NRLDC Instruction Unit Desynchronized,P
Reserve Shutdown As Per NRLDC Instruction Unit Desynchronized,P
Reserve Shutdown As Per NRLDC Instruction Unit Desynchronized,P
Reserve Shutdown As Per NRLDC Instruction Unit Desynchronized,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown AS PER NRLDC INSTRUCTION.,P
Reserve Shutdown AS PER NRLDC INSTRUCTION.,P
Reserve Shutdown AS PER NRLDC INSTRUCTION.,P
Reserve Shutdown AS PER NRLDC INSTRUCTION.,P
Reserve Shutdown AS PER NRLDC INSTRUCTION,P
Reserve Shutdown AS PER NRLDC INSTRUCTION,P
Reserve Shutdown AS PER NRLDC INSTRUCTION,P
Reserve Shutdown AS PER NRLDC INSTRUCTION,P
Reserve Shutdown AS PER NRLDC INSTRUCTION,P
Reserve Shutdown AS PER NRLDC INSTRUCTION,P
Reserve Shutdown AS PER NRLDC INSTRUCTION,P
Reserve Shutdown AS PER NRLDC INSTRUCTION,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown UNIT DESYNCHRONIZED AS PER NRLDC INSTRUCTION,P
Reserve Shutdown UNIT DESYNCHRONIZED AS PER NRLDC INSTRUCTION,P
Reserve Shutdown UNIT DESYNCHRONIZED AS PER NRLDC INSTRUCTION,P
Reserve Shutdown UNIT DESYNCHRONIZED AS PER NRLDC INSTRUCTION,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown AS PER NRLDC INSTRUCTIONS.,P
Reserve Shutdown AS PER NRLDC INSTRUCTIONS.,P
Reserve Shutdown AS PER NRLDC INSTRUCTIONS.,P
Reserve Shutdown ,P
Reserve Shutdown As per nrldc instruction unit Desynchronized,P
Reserve Shutdown As per nrldc instruction unit Desynchronized,P
Reserve Shutdown As per nrldc instruction unit Desynchronized,P
Reserve Shutdown As per nrldc instruction unit Desynchronized,P
Reserve Shutdown as per  nrldc instruction,P
Reserve Shutdown as per  nrldc instruction,P
Reserve Shutdown as per  nrldc instruction,P
Reserve Shutdown as per  nrldc instruction,P
Reserve Shutdown AS PER NRLDC INSTRUCTIOIN,P
Reserve Shutdown As per nrldc instruction unit desynchronized,P
Reserve Shutdown As per nrldc instruction unit desynchronized,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown As per nrldc instruction unit desynchronized,P
Reserve Shutdown As per nrldc instruction unit desynchronized,P
Reserve Shutdown AS PER NRLDC INSTRUCTION  UNIT IS DESYNCHRONIZED,P
Reserve Shutdown AS PER NRLDC INSTRUCTION  UNIT IS DESYNCHRONIZED,P
Reserve Shutdown AS PER NRLDC INSTRUCTION  UNIT IS DESYNCHRONIZED,P
Reserve Shutdown AS PER NRLDC INSTRUCTION  UNIT IS DESYNCHRONIZED,P
Reserve Shutdown AS PER NRLDC,P
Reserve Shutdown AS PER NRLDC,P
Reserve Shutdown AS PER NRLDC,P
Reserve Shutdown AS PER NRLDC,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
GT trip due to Electrical fault.,F
Reserve Shutdown AS PER NRLDC INSTRUCTIONS,P
Reserve Shutdown AS PER NRLDC INSTRUCTIONS,P
Reserve Shutdown AS PER NRLDC INSTRUCTIONS,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown as per nrldc instruction,P
Reserve Shutdown as per nrldc instruction.,P
Reserve Shutdown ,P
Reserve Shutdown as per nrldc instruction,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
